Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Age_of_car,Avg_kms_per_yr
1427,Toyota Innova Crysta 2.4 VX MT,Kochi,2018,8899,Diesel,Manual,First,13.0,2393,147.0,7.0,19.92,6,4.409811694747274
1428,Chevrolet Beat Diesel LS,Kochi,2016,83629,Diesel,Manual,First,25.0,936,56.0,5.0,3.15,8,41.482638888888886
1429,Volkswagen Polo GTI,Chennai,2014,35059,Petrol,Automatic,First,17.0,1798,189.0,4.0,5.75,10,17.40764647467726
1430,Ford Endeavour 3.2 Trend AT 4X4,Kochi,2018,30552,Diesel,Automatic,First,10.0,3198,197.0,7.0,32.44,6,15.13974231912785
1431,Hyundai Verna 1.6 SX CRDI (O) AT,Kochi,2016,44875,Diesel,Automatic,Second,22.0,1582,126.0,5.0,8.01,8,22.259424603174605
1432,Ford Figo 2015-2019 1.2P Titanium Opt MT,Coimbatore,2017,25095,Petrol,Manual,First,18.0,1196,86.0,5.0,6.48,7,12.44174516608825
1433,Maruti 800 AC,Jaipur,2007,59000,Petrol,Manual,First,16.0,796,37.0,4.0,0.75,17,29.397110114598902
1434,Honda City i DTEC V,Kolkata,2014,36000,Diesel,Manual,First,26.0,1498,98.0,5.0,5.0,10,17.874875868917577
1435,Mahindra XUV500 W8 2WD,Mumbai,2012,37000,Diesel,Manual,First,16.0,2179,140.0,7.0,7.75,12,18.389662027833
1436,Ford Figo Diesel ZXI,Chennai,2010,90000,Diesel,Manual,First,20.0,1399,68.0,5.0,2.6,14,44.776119402985074
1437,Ford EcoSport 1.5 Petrol Titanium,Pune,2018,17000,Petrol,Manual,First,17.0,1497,121.0,5.0,9.2,6,8.424182358771061
1438,Hyundai i20 Asta 1.2,Mumbai,2015,42575,Petrol,Manual,First,18.0,1197,81.0,5.0,5.05,9,21.129032258064516
1439,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Hyderabad,2012,131000,Diesel,Manual,First,12.0,2494,100.0,7.0,9.6,12,65.1093439363817
1440,Renault Duster 85PS Diesel RxL Optional,Mumbai,2013,74000,Diesel,Manual,First,20.0,1461,83.0,5.0,5.5,11,36.76105315449578
1441,Toyota Innova 2.5 VX (Diesel) 8 Seater,Mumbai,2013,47234,Diesel,Manual,First,12.0,2494,100.0,8.0,9.35,11,23.46448087431694
1442,Honda City 1.5 S MT,Delhi,2009,231673,Petrol,Manual,First,17.0,1497,118.0,5.0,2.6,15,115.31757093081134
1443,Maruti Alto K10 VXI,Hyderabad,2016,10000,Petrol,Manual,First,24.0,998,67.0,5.0,3.5,8,4.9603174603174605
1444,Nissan Micra Active XL Petrol,Kochi,2016,49389,Petrol,Manual,First,19.0,1198,67.0,5.0,4.26,8,24.498511904761905
1445,Maruti Celerio VXI AT,Chennai,2016,12000,Petrol,Automatic,Second,23.0,998,67.0,5.0,4.25,8,5.9523809523809526
1446,Mercedes-Benz New C-Class 200 Kompressor,Hyderabad,2010,65000,Petrol,Manual,Second,11.0,1796,178.0,5.0,11.75,14,32.33830845771144
1447,Ford Fiesta Diesel Style,Chennai,2013,177000,Diesel,Manual,First,23.0,1498,88.0,5.0,3.5,11,87.9284649776453
1448,Hyundai Verna 1.6 VTVT S,Jaipur,2015,89000,Petrol,Manual,First,17.0,1591,121.0,5.0,7.5,9,44.168734491315135
1449,Hyundai i20 1.4 Asta (AT),Chennai,2009,72000,Petrol,Automatic,Third,15.0,1396,100.0,5.0,3.25,15,35.83872573419612
1450,Maruti Swift Dzire VXi,Chennai,2012,49000,Petrol,Manual,First,17.0,1298,85.0,5.0,4.9,12,24.353876739562626
1451,Mercedes-Benz New C-Class C 220CDIBE Avantgarde Command,Hyderabad,2014,51355,Diesel,Automatic,First,14.0,2143,170.0,5.0,27.0,10,25.499006951340615
1452,Hyundai Elite i20 Petrol Asta,Kochi,2017,13460,Petrol,Manual,First,18.0,1197,81.0,5.0,8.91,7,6.673277144273674
1453,Hyundai Verna 1.6 VTVT EX AT,Kochi,2014,35642,Petrol,Automatic,First,17.0,1591,121.0,5.0,6.69,10,17.697120158887785
1454,Chevrolet Cruze LTZ,Kochi,2014,52895,Diesel,Manual,First,17.0,1998,163.0,5.0,6.02,10,26.263654419066533
1455,Toyota Corolla Altis 1.8 G,Mumbai,2010,93000,Petrol,Manual,First,14.0,1798,138.0,5.0,4.5,14,46.26865671641791
1456,Maruti A-Star Vxi,Pune,2011,70000,Petrol,Manual,First,19.0,998,66.0,5.0,2.0,13,34.808552958727
1457,Nissan Micra Diesel XV Premium,Kolkata,2012,32048,Diesel,Manual,First,23.0,1461,63.0,5.0,2.4,12,15.928429423459244
1458,Tata Nano LX,Pune,2013,4700,Petrol,Manual,First,25.0,624,37.0,4.0,1.2,11,2.334823646299056
1459,Maruti Swift Dzire Tour LDI,Delhi,2014,71800,Diesel,Manual,First,23.0,1248,74.0,5.0,2.9,10,35.650446871896726
1461,Audi Q3 2.0 TDI Quattro,Ahmedabad,2016,45000,Diesel,Automatic,First,17.0,1968,184.0,5.0,27.0,8,22.321428571428573
1462,Honda Amaze VX i-DTEC,Chennai,2016,15388,Diesel,Manual,First,25.0,1498,98.0,5.0,7.5,8,7.632936507936508
1463,Chevrolet Optra 1.6 LS,Mumbai,2004,98798,Petrol,Manual,First,14.0,1599,104.0,5.0,1.5,20,49.300399201596804
1464,Audi Q5 2.0 TDI Premium Plus,Hyderabad,2016,43000,Diesel,Automatic,First,14.0,1968,174.0,5.0,39.5,8,21.32936507936508
1465,Maruti Ritz VDi,Hyderabad,2012,85112,Diesel,Manual,First,23.0,1248,73.0,5.0,3.39,12,42.30218687872763
1466,Mahindra Scorpio S6 7 Seater,Kochi,2018,37804,Diesel,Manual,First,15.0,2179,120.0,7.0,12.4,6,18.733399405351832
1467,Maruti Ciaz ZDi SHVS,Chennai,2014,45000,Diesel,Manual,First,28.0,1248,88.0,5.0,6.85,10,22.34359483614697
1468,Toyota Corolla Altis Aero D 4D J,Pune,2011,116000,Diesel,Manual,Second,21.0,1364,138.0,5.0,5.75,13,57.68274490303332
1469,Tata Indica V2 eLS,Chennai,2015,100073,Diesel,Manual,Second,25.0,1396,69.0,5.0,2.0,9,49.66401985111663
1470,Maruti 800 Std BSIII,Jaipur,2006,165000,Petrol,Manual,First,16.0,796,37.0,4.0,0.9,18,82.25324027916251
1471,Volkswagen Polo 1.2 MPI Highline,Kolkata,2015,22000,Petrol,Manual,First,16.0,1198,74.0,5.0,3.8,9,10.918114143920596
1472,Hyundai Elantra 2.0 SX Option AT,Delhi,2017,9500,Petrol,Automatic,First,14.0,1999,149.0,5.0,16.35,7,4.709965294992563
1473,Toyota Fortuner 4x2 4 Speed AT,Hyderabad,2012,152000,Diesel,Automatic,First,11.0,2982,169.0,7.0,16.5,12,75.54671968190856
1474,Maruti Baleno Zeta 1.2,Coimbatore,2019,17705,Petrol,Manual,First,21.0,1197,83.0,5.0,8.7,5,8.769192669638436
1475,Maruti Baleno Zeta 1.2,Mumbai,2016,12000,Petrol,Manual,First,21.0,1197,83.0,5.0,6.1,8,5.9523809523809526
1476,Mini Cooper Countryman D,Hyderabad,2013,51000,Diesel,Automatic,First,23.0,1998,112.0,5.0,21.94,11,25.33532041728763
1477,Mercedes-Benz S Class 2005 2013 320 CDI,Chennai,2009,42000,Diesel,Automatic,Second,13.0,2987,210.0,5.0,22.0,15,20.905923344947734
1478,Maruti Alto K10 LXI,Delhi,2015,51000,Petrol,Manual,First,20.0,998,67.0,5.0,2.65,9,25.31017369727047
1479,Maruti Swift VXI Optional,Kochi,2017,42527,Petrol,Manual,First,20.0,1197,81.0,5.0,5.27,7,21.084283589489342
1480,Chevrolet Sail LT ABS,Kolkata,2014,45000,Diesel,Manual,First,22.0,1248,74.0,5.0,2.48,10,22.34359483614697
1481,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Kolkata,2011,70000,Diesel,Manual,First,12.0,2494,102.0,8.0,6.0,13,34.808552958727
1482,Toyota Fortuner 3.0 Diesel,Mumbai,2009,92000,Diesel,Manual,First,11.0,2982,171.0,7.0,8.9,15,45.79392732702837
1483,BMW 3 Series 320d Sport Line,Hyderabad,2012,57156,Diesel,Automatic,Second,18.0,1995,184.0,5.0,18.0,12,28.407554671968192
1484,Skoda Octavia Ambition 1.4 TSI MT,Coimbatore,2016,53211,Petrol,Manual,First,16.0,1395,138.0,5.0,11.64,8,26.394345238095237
1485,Toyota Fortuner 3.0 Diesel,Kolkata,2019,80000,Diesel,Manual,First,11.0,2982,171.0,7.0,8.99,5,39.623576027736505
1486,Volkswagen Jetta 2007-2011 1.9 Highline TDI,Bangalore,2009,74000,Diesel,Automatic,First,15.0,1896,105.0,5.0,5.25,15,36.83424589347934
1487,Hyundai i20 1.4 CRDi Asta,Kolkata,2011,37000,Diesel,Manual,First,23.0,1396,90.0,5.0,2.95,13,18.398806563898557
1488,Tata Manza Club Class Quadrajet90 LX,Mumbai,2013,64000,Diesel,Manual,Second,21.0,1248,88.0,5.0,2.65,11,31.793343268753105
1489,Volkswagen Vento Petrol Highline,Pune,2013,57197,Petrol,Manual,First,15.0,1598,103.0,5.0,4.0,11,28.413810233482366
1490,Hyundai Creta 1.6 SX Automatic Diesel,Chennai,2016,55000,Diesel,Automatic,First,17.0,1582,126.0,5.0,12.5,8,27.28174603174603
1491,Maruti Ritz VXI,Mumbai,2014,33000,Petrol,Manual,First,21.0,1197,85.0,5.0,3.25,10,16.385302879841113
1492,Honda CR-V 2.0L 2WD MT,Delhi,2008,70000,Petrol,Manual,First,13.0,1997,141.0,5.0,4.0,16,34.8605577689243
1493,Mahindra XUV500 W8 2WD,Delhi,2012,75000,Diesel,Manual,Second,15.0,2179,140.0,7.0,6.25,12,37.27634194831014
1494,Volkswagen Ameo 1.5 TDI Comfortline,Jaipur,2016,58095,Diesel,Manual,First,21.0,1498,108.0,5.0,5.8,8,28.816964285714285
1495,Tata Zest Revotron 1.2 XT,Kolkata,2015,7445,Petrol,Manual,First,17.0,1193,88.0,5.0,5.0,9,3.694789081885856
1496,Jaguar XJ 3.0L Portfolio LWB,Kochi,2016,17652,Diesel,Automatic,First,12.0,2993,270.0,5.0,58.73,8,8.755952380952381
1497,Toyota Corolla Altis 1.8 VL CVT,Kochi,2018,28321,Petrol,Automatic,First,14.0,1798,138.0,5.0,17.49,6,14.034192269573836
1498,Maruti A-Star Vxi,Pune,2011,69000,Petrol,Manual,Second,19.0,998,66.0,5.0,1.95,13,34.31128791645947
1499,Honda Accord VTi-L (AT),Mumbai,2007,80000,Petrol,Automatic,First,11.0,2354,142.0,5.0,3.0,17,39.860488290981564
1500,Hyundai i20 Asta (o),Delhi,2014,42365,Petrol,Manual,First,17.0,1197,80.0,5.0,5.5,10,21.035253227408145
1501,Toyota Fortuner 4x2 AT,Delhi,2013,123000,Diesel,Automatic,First,12.0,2982,168.0,7.0,16.5,11,61.10283159463487
1502,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Mumbai,2011,40000,Petrol,Automatic,Second,11.0,1796,186.0,5.0,14.5,13,19.890601690701143
1503,Maruti Baleno Alpha 1.3,Hyderabad,2016,30112,Diesel,Manual,First,27.0,1248,74.0,5.0,7.79,8,14.936507936507937
1504,Maruti Ertiga VDI,Kochi,2017,43775,Diesel,Manual,First,20.0,1248,88.0,7.0,8.27,7,21.703024293505205
1505,Land Rover Range Rover Sport SE,Kochi,2019,26013,Diesel,Automatic,First,12.0,2993,255.0,5.0,97.07,5,12.884101040118871
1506,Chevrolet Optra Magnum 1.6 LT ABS BS3,Mumbai,2012,56000,Petrol,Manual,First,12.0,1598,102.0,5.0,2.15,12,27.83300198807157
1507,Honda Civic 2006-2010 1.8 V AT,Hyderabad,2008,95000,Petrol,Automatic,Second,12.0,1799,130.0,5.0,3.0,16,47.310756972111555
1508,BMW X3 xDrive20d,Coimbatore,2014,41089,Diesel,Automatic,First,16.0,1995,184.0,5.0,28.79,10,20.401688182720953
1509,Skoda Laura Ambition 2.0 TDI CR AT,Mumbai,2011,41988,Diesel,Automatic,First,20.0,1968,138.0,5.0,5.45,13,20.87916459472899
1510,Maruti Swift Dzire VDI,Delhi,2013,72486,Diesel,Manual,First,23.0,1248,74.0,5.0,3.95,11,36.008941877794335
1511,Volvo V40 Cross Country D3,Pune,2013,92000,Diesel,Automatic,First,23.0,1984,150.0,5.0,16.0,11,45.70293094883259
1512,Maruti Swift Dzire ZXi,Delhi,2013,40000,Petrol,Manual,First,17.0,1298,85.0,5.0,4.25,11,19.87083954297069
1513,Land Rover Range Rover 2.2L Pure,Bangalore,2014,56000,Diesel,Automatic,First,12.0,2179,187.0,5.0,34.5,10,27.805362462760677
1514,Honda Accord 2.4 AT,Mumbai,2008,125000,Petrol,Automatic,Third,11.0,2354,177.0,5.0,2.6,16,62.25099601593625
1515,Toyota Innova 2.5 G (Diesel) 8 Seater,Kochi,2017,29219,Diesel,Manual,First,12.0,2494,100.0,8.0,13.48,7,14.486365889935549
1516,Toyota Fortuner 4x4 MT,Hyderabad,2018,39927,Diesel,Manual,First,12.0,2982,168.0,7.0,32.1,6,19.785431119920712
1517,Honda Jazz 1.2 E i VTEC,Kochi,2018,38593,Petrol,Manual,First,18.0,1199,88.0,5.0,6.17,6,19.12438057482656
1518,Honda City 1.5 V MT,Kolkata,2015,32000,Petrol,Manual,First,17.0,1497,118.0,5.0,5.5,9,15.88089330024814
1519,Maruti Dzire AMT ZDI Plus,Hyderabad,2017,28226,Diesel,Automatic,First,28.0,1248,73.0,5.0,9.15,7,13.994050570153693
1520,Nissan Sunny 2011-2014 Diesel XL,Pune,2014,95000,Diesel,Manual,First,21.0,1461,84.0,5.0,4.5,10,47.16981132075472
1521,Toyota Innova 2.5 G (Diesel) 8 Seater,Chennai,2014,194000,Diesel,Manual,First,12.0,2494,100.0,8.0,10.5,10,96.32571996027805
1522,Honda Brio S MT,Coimbatore,2016,14821,Petrol,Manual,First,19.0,1198,86.0,5.0,5.37,8,7.351686507936508
1523,Volkswagen Vento Petrol Trendline,Bangalore,2012,52000,Petrol,Manual,First,15.0,1598,103.0,5.0,5.45,12,25.84493041749503
1524,Mahindra XUV500 W4,Mumbai,2016,33000,Diesel,Manual,First,16.0,2179,140.0,7.0,9.25,8,16.36904761904762
1525,Ford EcoSport 1.5 Diesel Titanium Plus,Chennai,2016,29200,Diesel,Manual,First,23.0,1498,98.0,5.0,7.7,8,14.484126984126984
1526,Skoda Yeti Ambition 4X2,Hyderabad,2012,99754,Diesel,Manual,First,17.0,1968,108.0,5.0,7.99,12,49.57952286282306
1527,Hyundai i10 Sportz,Chennai,2012,49000,Petrol,Manual,First,20.0,1197,78.0,5.0,3.0,12,24.353876739562626
1528,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Hyderabad,2005,299322,Diesel,Manual,First,12.0,2494,102.0,8.0,4.0,19,149.28778054862843
1529,Tata Zest Quadrajet 1.3 XT,Coimbatore,2018,38310,Diesel,Manual,First,20.0,1248,88.0,5.0,6.69,6,18.984142715559962
1530,Maruti Swift VDI,Delhi,2014,56000,Diesel,Manual,First,22.0,1248,74.0,5.0,4.25,10,27.805362462760677
1531,Skoda Rapid 1.5 TDI AT Style,Kolkata,2017,31300,Diesel,Automatic,First,21.0,1498,108.0,5.0,10.5,7,15.518096182449183
1532,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2019,11241,Diesel,Manual,First,13.0,2393,147.0,8.0,22.55,5,5.567607726597325
1533,Hyundai Verna 1.6 SX VTVT,Pune,2014,48000,Petrol,Manual,Second,17.0,1591,121.0,5.0,5.2,10,23.833167825223438
1534,Honda City i VTEC VX Option,Coimbatore,2019,23882,Petrol,Manual,First,17.0,1497,117.0,5.0,11.87,5,11.82862803368004
1535,Honda City i DTEC SV,Hyderabad,2014,65000,Diesel,Manual,First,26.0,1498,98.0,5.0,6.99,10,32.27408142999007
1536,Volkswagen Vento Diesel Highline,Jaipur,2011,50000,Diesel,Manual,First,20.0,1598,103.0,5.0,5.0,13,24.86325211337643
1537,Audi Q5 2008-2012 3.0 TDI,Chennai,2014,25000,Diesel,Automatic,First,12.0,2967,236.0,5.0,44.0,10,12.413108242303872
1538,Maruti Alto 800 LXI,Chennai,2015,21000,Petrol,Manual,First,22.0,796,47.0,5.0,2.79,9,10.421836228287841
1539,Tata Manza ELAN Quadrajet BS IV,Pune,2012,148000,Diesel,Manual,Second,21.0,1248,88.0,5.0,2.9,12,73.558648111332
1540,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Delhi,2016,68000,Petrol,Manual,First,15.0,1591,121.0,5.0,9.85,8,33.73015873015873
1541,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Bangalore,2014,52000,Diesel,Automatic,First,12.0,2987,224.0,7.0,49.0,10,25.819265143992055
1542,Mahindra Thar CRDe,Jaipur,2016,19000,Diesel,Manual,First,16.0,2498,105.0,6.0,9.25,8,9.424603174603174
1543,Hyundai Verna 1.6 CRDI,Mumbai,2011,74000,Diesel,Manual,Second,22.0,1582,126.0,5.0,3.75,13,36.79761312779711
1544,Ford Aspire Titanium Diesel,Coimbatore,2017,30279,Diesel,Manual,First,26.0,1498,99.0,5.0,7.29,7,15.011898859692613
1545,Mini Cooper 3 DOOR D,Mumbai,2016,20000,Diesel,Automatic,First,20.0,1496,113.0,4.0,23.5,8,9.920634920634921
1546,Maruti Omni 8 Seater BSIV,Hyderabad,2013,34834,Petrol,Manual,First,14.0,796,35.0,5.0,2.6,11,17.304520615996026
1547,Mahindra Verito 1.5 D4 BSIV,Pune,2015,90000,Diesel,Manual,Second,21.0,1461,65.0,5.0,3.1,9,44.66501240694789
1548,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Coimbatore,2016,38730,Diesel,Automatic,First,14.0,2143,203.0,5.0,29.98,8,19.211309523809526
1549,Renault Duster 110PS Diesel RxZ,Kochi,2016,57390,Diesel,Manual,First,19.0,1461,108.0,5.0,6.73,8,28.467261904761905
1550,Maruti Swift Dzire Tour LDI,Kolkata,2016,100000,Diesel,Manual,First,23.0,1248,74.0,5.0,3.5,8,49.6031746031746
1551,Volkswagen Polo Petrol Highline 1.2L,Kolkata,2011,50000,Petrol,Manual,First,16.0,1198,73.0,5.0,2.35,13,24.86325211337643
1552,Mahindra XUV500 W10 2WD,Coimbatore,2017,64961,Diesel,Manual,First,16.0,2179,140.0,7.0,16.13,7,32.20674268715915
1553,Volkswagen Polo 1.2 MPI Highline,Coimbatore,2014,72465,Petrol,Manual,First,16.0,1198,74.0,5.0,5.9,10,35.98063555114201
1554,Maruti Ritz VXI,Hyderabad,2012,68776,Petrol,Manual,First,21.0,1197,85.0,5.0,3.9,12,34.18290258449304
1556,Toyota Innova 2.5 GX 7 STR BSIV,Delhi,2012,68000,Diesel,Manual,First,12.0,2494,102.0,7.0,6.95,12,33.79721669980119
1557,Honda City i DTec SV,Delhi,2015,33000,Diesel,Manual,First,26.0,1498,98.0,5.0,7.0,9,16.377171215880892
1558,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2017,22389,Petrol,Manual,First,17.0,1198,73.0,5.0,7.23,7,11.100148735746158
1559,Maruti SX4 ZDI Leather,Mumbai,2012,90000,Diesel,Manual,First,21.0,1248,88.0,5.0,3.81,12,44.731610337972164
1560,Maruti Swift ZXI,Chennai,2012,42000,Petrol,Manual,Third,18.0,1197,85.0,5.0,4.5,12,20.87475149105368
1561,Hyundai Creta 1.6 CRDi SX,Pune,2017,38767,Diesel,Manual,First,19.0,1582,126.0,5.0,12.6,7,19.220128904313338
1562,Audi Q7 35 TDI Quattro Technology,Bangalore,2015,21000,Diesel,Automatic,First,12.0,2967,241.0,7.0,48.0,9,10.421836228287841
1563,Maruti Alto LXi BSIII,Coimbatore,2010,59136,Petrol,Manual,First,19.0,796,46.0,5.0,2.96,14,29.420895522388058
1564,Honda Amaze SX i-DTEC,Kolkata,2014,36000,Diesel,Manual,First,25.0,1498,98.0,5.0,3.25,10,17.874875868917577
1565,Volkswagen Passat Diesel Highline 2.0 TDI,Chennai,2011,95000,Diesel,Automatic,Second,18.0,1968,167.0,5.0,8.5,13,47.240179015415215
1566,Hyundai Elantra CRDi SX AT,Mumbai,2013,51000,Diesel,Automatic,First,19.0,1582,126.0,5.0,8.75,11,25.33532041728763
1567,Maruti Wagon R VXI BS IV,Kochi,2011,36411,Petrol,Manual,First,18.0,998,67.0,5.0,3.08,13,18.105917454002984
1568,Land Rover Discovery Sport TD4 HSE 7S,Mumbai,2017,40000,Diesel,Automatic,First,12.0,1999,148.0,7.0,41.5,7,19.83143282102132
1569,Honda City i VTEC SV,Pune,2016,27300,Petrol,Manual,First,17.0,1497,117.0,5.0,7.0,8,13.541666666666666
1570,Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Kochi,2011,29813,Petrol,Automatic,Second,14.0,1991,181.0,5.0,11.5,13,14.82496270512183
1571,Maruti Wagon R LX BS IV,Pune,2011,71000,Petrol,Manual,First,20.0,998,67.0,5.0,2.6,13,35.30581800099453
1572,Hyundai Verna 1.6 CRDI,Kolkata,2014,32000,Diesel,Manual,First,22.0,1582,126.0,5.0,4.3,10,15.888778550148958
1574,Volkswagen Tiguan 2.0 TDI Highline,Jaipur,2017,50510,Diesel,Automatic,First,17.0,1968,141.0,5.0,24.9,7,25.04214179474467
1575,BMW X1 sDrive 20d Exclusive,Pune,2011,102000,Diesel,Automatic,First,15.0,1995,177.0,5.0,13.75,13,50.721034311287916
1576,Hyundai Grand i10 1.2 CRDi Sportz Option,Kolkata,2014,42277,Diesel,Manual,First,24.0,1186,73.0,5.0,3.85,10,20.991559086395235
1577,Mercedes-Benz E-Class E250 CDI Avantgrade,Mumbai,2014,46000,Diesel,Automatic,First,13.0,2143,201.0,5.0,23.25,10,22.840119165839127
1579,Hyundai Grand i10 Asta Option,Bangalore,2015,50000,Petrol,Manual,First,18.0,1197,82.0,5.0,5.75,9,24.81389578163772
1580,Hyundai i10 Magna 1.2,Mumbai,2008,62000,Petrol,Manual,Second,20.0,1197,78.0,5.0,1.65,16,30.87649402390438
1581,Volkswagen Jetta 2012-2014 2.0L TDI Comfortline,Mumbai,2012,78000,Diesel,Manual,First,19.0,1968,138.0,5.0,6.5,12,38.767395626242546
1582,Skoda Yeti Elegance,Chennai,2011,79000,Diesel,Manual,First,17.0,1968,138.0,5.0,7.5,13,39.28393833913476
1583,Audi Q7 45 TDI Quattro Premium Plus,Kochi,2019,6773,Diesel,Automatic,First,14.0,2967,245.0,7.0,72.94,5,3.3546310054482418
1584,Toyota Fortuner 3.0 Diesel,Chennai,2010,135000,Diesel,Manual,Second,11.0,2982,171.0,7.0,11.0,14,67.16417910447761
1585,Maruti Wagon R VXI Minor ABS,Kochi,2013,36716,Petrol,Manual,First,18.0,1061,67.0,5.0,3.02,11,18.239443616492796
1586,Hyundai EON Era,Coimbatore,2013,65060,Petrol,Manual,First,21.0,814,55.0,5.0,3.32,11,32.31992051664183
1587,Honda Brio S MT,Delhi,2013,33000,Petrol,Manual,First,19.0,1198,86.0,5.0,3.24,11,16.39344262295082
1588,Maruti Alto 800 VXI,Kolkata,2015,11110,Petrol,Manual,First,22.0,796,47.0,5.0,2.35,9,5.513647642679901
1589,Mahindra Bolero ZLX,Jaipur,2013,63000,Diesel,Manual,First,15.0,2523,62.0,7.0,5.5,11,31.296572280178836
1590,Honda City i VTEC SV,Mumbai,2015,27030,Petrol,Manual,First,17.0,1497,117.0,5.0,6.75,9,13.41439205955335
1591,Skoda Rapid 1.6 MPI Elegance Black Package,Mumbai,2015,19600,Petrol,Manual,First,15.0,1598,103.0,5.0,6.15,9,9.727047146401985
1592,Maruti Swift VVT VXI,Pune,2016,27755,Petrol,Manual,First,22.0,1197,81.0,5.0,5.45,8,13.76736111111111
1593,Hyundai EON Magna Plus,Hyderabad,2013,20000,Petrol,Manual,Second,21.0,814,55.0,5.0,2.3,11,9.935419771485344
1594,Maruti Swift Dzire ZXI,Kochi,2015,24782,Petrol,Manual,First,20.0,1197,83.0,5.0,6.21,9,12.298759305210918
1595,Nissan Micra XV CVT,Coimbatore,2014,47303,Petrol,Automatic,First,19.0,1198,76.0,5.0,5.21,10,23.487090367428003
1596,Audi Q7 4.2 FSI quattro,Delhi,2008,71000,Petrol,Automatic,First,8.0,4134,250.0,7.0,11.99,16,35.35856573705179
1597,Maruti Swift Vdi BSIII,Pune,2010,135000,Diesel,Manual,First,17.0,1248,75.0,5.0,3.1,14,67.16417910447761
1598,Tata Xenon XT EX 4X2,Jaipur,2017,1000,Diesel,Manual,First,13.0,2179,138.0,5.0,7.5,7,0.495785820525533
1599,Volkswagen Polo 1.5 TDI Comfortline,Kolkata,2016,29000,Diesel,Manual,First,20.0,1498,88.0,5.0,4.0,8,14.384920634920634
1600,Honda City i VTEC SV,Kochi,2016,36367,Petrol,Manual,First,17.0,1497,117.0,5.0,7.73,8,18.03918650793651
1601,Honda City i VTEC V,Bangalore,2015,38000,Petrol,Manual,First,17.0,1497,117.0,5.0,7.8,9,18.858560794044664
1602,Maruti 800 AC BSIII,Hyderabad,2011,83969,Petrol,Manual,First,16.0,796,37.0,4.0,1.3,13,41.754848334162105
1603,Volkswagen Polo 1.5 TDI Trendline,Jaipur,2014,82621,Diesel,Manual,First,20.0,1498,88.0,5.0,4.42,10,41.02333664349553
1604,Chevrolet Captiva LTZ VCDi,Pune,2009,89000,Diesel,Automatic,First,12.0,1991,147.0,7.0,4.0,15,44.30064708810353
1605,Mahindra XUV500 W10 2WD,Kolkata,2016,54000,Diesel,Manual,First,16.0,2179,140.0,7.0,13.0,8,26.785714285714285
1606,Honda Amaze VX i-DTEC,Kochi,2015,61691,Diesel,Manual,First,25.0,1498,98.0,5.0,5.38,9,30.615880893300247
1607,Hyundai i20 1.2 Sportz Option,Chennai,2011,32200,Petrol,Manual,Second,17.0,1197,80.0,5.0,3.25,13,16.011934361014422
1608,Maruti Wagon R AMT VXI,Jaipur,2016,68630,Petrol,Automatic,First,20.0,998,67.0,5.0,3.87,8,34.04265873015873
1609,Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,Mumbai,2014,61000,Diesel,Automatic,Second,16.0,1968,138.0,5.0,8.25,10,30.28798411122145
1610,Maruti Ciaz 1.4 Zeta,Mumbai,2018,32644,Petrol,Manual,First,20.0,1373,91.0,5.0,9.28,6,16.17641228939544
1611,Mahindra Scorpio 2009-2014 VLX 4WD AT 7S BSIV,Delhi,2012,85000,Diesel,Automatic,First,11.0,2179,120.0,7.0,6.25,12,42.24652087475149
1612,Chevrolet Aveo U-VA 1.2 LS,Mumbai,2008,75000,Petrol,Manual,Second,15.0,1150,74.0,5.0,1.15,16,37.35059760956175
1613,Maruti Ciaz ZXi Option,Kochi,2016,40347,Petrol,Manual,First,20.0,1373,91.0,5.0,7.8,8,20.013392857142858
1614,Hyundai i20 1.4 CRDi Asta,Hyderabad,2012,60788,Diesel,Manual,First,23.0,1396,90.0,5.0,4.5,12,30.21272365805169
1615,Honda Jazz 1.2 SV i VTEC,Kochi,2018,18664,Petrol,Manual,First,18.0,1199,88.0,5.0,7.56,6,9.248761149653122
1616,Mahindra XUV500 W10 2WD,Coimbatore,2017,57847,Diesel,Manual,First,16.0,2179,140.0,7.0,16.08,7,28.679722359940506
1617,Hyundai i20 1.2 Sportz,Bangalore,2012,52237,Petrol,Manual,First,17.0,1197,80.0,5.0,4.5,12,25.96272365805169
1618,Hyundai Verna 1.6 SX,Chennai,2012,128000,Diesel,Manual,First,22.0,1582,126.0,5.0,5.0,12,63.618290258449306
1619,Hyundai i10 Era 1.1,Delhi,2011,54000,Petrol,Manual,First,19.0,1086,68.0,5.0,2.2,13,26.852312282446544
